-1.04475,-1.78024,-2.24013,-0.781733,1.61513,0.0356047
-1.03516,-1.73706,-2.15393,-0.921984,1.51098,0.0258151
-1.14423,-1.70981,-2.11703,-0.91979,1.35067,0.0429758
-1.19629,-1.59601,-2.09254,-0.871356,1.28601,0.174171
-1.21964,-1.46018,-2.04271,-0.753407,1.25241,0.233177
-1.23765,-1.33211,-2.00257,-0.790157,1.12111,0.177752
-1.28754,-1.32189,-2.00267,-0.783148,0.929858,0.205708
-1.23509,-1.19638,-2.00501,-0.714409,0.805093,0.17105
-1.18456,-1.1996,-2.00467,-0.590225,0.704616,0.280222
-1.19839,-1.18862,-1.98976,-0.490926,0.546621,0.34836
-1.2423,-1.07896,-1.85404,-0.462642,0.464721,0.337487
-1.18153,-0.97361,-1.84511,-0.366048,0.343791,0.371748
-1.11732,-0.840531,-1.80369,-0.30685,0.298718,0.267267
-1.13969,-0.721041,-1.7127,-0.262827,0.248392,0.378951
-1.12279,-0.726983,-1.78814,-0.190441,0.103615,0.4672
-1.07982,-0.623088,-1.65667,-0.20005,0.00800223,0.496187
-0.999623,-0.645171,-1.645,-0.251208,0.123332,0.505105
-0.893981,-0.674259,-1.62962,-0.318596,0.275246,0.516852
-0.788338,-0.703348,-1.61425,-0.385983,0.427161,0.528599
-0.682696,-0.732436,-1.59887,-0.453371,0.579076,0.540346
-0.577053,-0.761525,-1.58349,-0.520758,0.73099,0.552093
-0.471411,-0.790613,-1.56812,-0.588146,0.882905,0.56384
-0.365769,-0.819702,-1.55274,-0.655533,1.03482,0.575587
-0.260126,-0.84879,-1.53737,-0.722921,1.18673,0.587334
-0.154484,-0.877879,-1.52199,-0.790308,1.33865,0.599081
-0.0488415,-0.906967,-1.50662,-0.857696,1.49056,0.610828
0.0568009,-0.936055,-1.49124,-0.925083,1.64248,0.622575
0.162443,-0.965144,-1.47587,-0.992471,1.79439,0.634322
0.268086,-0.994232,-1.46049,-1.05986,1.94631,0.646069
0.373728,-1.02332,-1.44511,-1.12725,2.09822,0.657816
0.47937,-1.05241,-1.42974,-1.19463,2.25014,0.669563
0.585013,-1.0815,-1.41436,-1.26202,2.40205,0.68131
0.690655,-1.11059,-1.39899,-1.32941,2.55397,0.693057
0.692519,-1.2599,-1.33384,-1.31183,2.65523,0.639258
0.81704,-1.27154,-1.30036,-1.36648,2.79621,0.658679
0.907914,-1.41698,-1.35449,-1.38893,2.84051,0.586606
0.919316,-1.54028,-1.38098,-1.38824,2.98476,0.530437
0.872073,-1.52687,-1.45759,-1.38726,3.14868,0.460795
0.932363,-1.5215,-1.54472,-1.32386,3.28135,0.3764
1.08037,-1.50994,-1.57029,-1.30237,3.38323,0.295992
1.12453,-1.55657,-1.57681,-1.48413,3.37677,0.243481
1.16006,-1.52543,-1.65691,-1.65547,3.34901,0.27845
1.25236,-1.55419,-1.79929,-1.65197,3.43818,0.229284
1.26297,-1.68745,-1.83953,-1.66781,3.53974,0.129574
1.40663,-1.68612,-1.82297,-1.71245,3.67038,0.134742
1.47788,-1.70036,-1.96447,-1.73374,3.73158,0.032268
1.62331,-1.69824,-1.9535,-1.78072,3.86009,0.0326415
1.76875,-1.69611,-1.94254,-1.8277,3.9886,0.0330149
1.91419,-1.69399,-1.93158,-1.87468,4.11712,0.0333884
2.05963,-1.69187,-1.92061,-1.92166,4.24563,0.0337618
2.20507,-1.68974,-1.90965,-1.96864,4.37415,0.0341353
2.3505,-1.68762,-1.89868,-2.01562,4.50266,0.0345087
2.49594,-1.68549,-1.88772,-2.0626,4.63117,0.0348822
2.64138,-1.68337,-1.87675,-2.10958,4.75969,0.0352557
